Entry,Finishing Position,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,FinalFour1,FinalFour2,FinalFour3,FinalFour4,Finalist1,Finalist2,Champ
KathDog,2
Larry G,2
I think I'm dying here,2
Mrs.bos'bracket,2
Not a Bracket,2
Three Orange Whips,2
Operation Varsity Blues,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, ,1 Gonzaga, ,2 Kentucky, ,2 Kentucky,2 Kentucky
NotAWinner,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,3 Texas Tech, ,2 Kentucky,2 Michigan State,2 Kentucky,2 Kentucky
Anna E.,2
2PEAT,2
Brexitball,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke, ,1 Virginia,2 Kentucky,1 Duke,2 Kentucky,1 Duke
BuyUsAWinner,2
This Year Though...,2
wrinkled balls,2
Red Raider Quaker,2
Bet They Got S.C.M.O.D.S.,2
Bulldogs Arf 1,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga,1 Virginia, ,1 Gonzaga,1 Virginia,1 Gonzaga
Tim Apple,2
LETS GO BU!,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,3 Texas Tech,1 Virginia,5 Auburn,2 Michigan State,1 Virginia,1 Virginia
Danielle Iserlis,2
Go SUNY Tech,2
Ckillar1,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,3 Texas Tech, ,2 Kentucky,3 Texas Tech,2 Kentucky,3 Texas Tech
Gimme the loot,2
gsuss,2
My Bracket Sucks,2
DLee's Wife's Mount Zion,2
Julie M,2
Dan G.,2
AS1's Pool,2
Gene's Picks,2
Yogi Bear,2
Shez 2,2
Corliss > Zion,2
west coast best coast,2
My Toddlers Picks,2
Sprinkles,2
PapaBias,2
Bulldogs Arf #2,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , ,1 Virginia, , ,1 Virginia,1 Virginia
Sydney's College Fund,2
qvollmert,2
uclakav,2
Geoffs winners,2
Sprague The Whisperer,2
Coach Kroojawoowski,2
Disco Pants and Haircuts,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga,1 Virginia, ,1 Gonzaga,1 Virginia,1 Virginia
Team ODB2,2
cbirn,2
Skinnyjam,2
Dat Bracket Doe,2
Geoff pool 2,2
Eric M Entry,2
GoDucks,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , ,2 Kentucky, ,2 Kentucky,2 Kentucky
Todd's Wife,2
Team ODB,2
YOU ARE UG-LY,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, ,1 Gonzaga, , ,1 Gonzaga, , 
augdiggity,2
FeelingLucky2019,2
All the Fish,2
Sanjita Mamacita,2
The Furst,2
Jeff Miller,2
javiiiiii,2
BMahoney,2
DLee's Bracket,2
Feirman 3,2
Boom Boom Room,2
Uzo's Winner,2
Iron Lion Zion,2
MASNYC,2
The Devil Wears Nada,2
HailTheBison,2
Corner Pocket,2
BigJohn,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , , , , , 
Corndog,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke, , , , , , 
THE CUSE IS LOOSE,2
George Barton,2
Nova 2 of 3,2
TheStable,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga,3 Purdue,2 Kentucky,1 Gonzaga,2 Kentucky,2 Kentucky
Abrams,2
cuttin' down the nets,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , , , , , 
DSW Sneaker Blowout,2
Your Hero,2
Where is my money,2
Holden It Down.,2
Feirman 1,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, ,3 Texas Tech, , , , , 
Rui Gooey,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga, ,5 Auburn,1 Gonzaga, , 
riz1,2
Road to Zion,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , ,1 Virginia, , ,1 Virginia, 
Self Defecating,2
Random morgy,2
TiGo,2
bos2,2.5
Beilein Or Bust,2.5
What the Hell,2.5
Shez1,2.5
Feirman 2,2.5
Sara wins!,2.5
PlayingBlind,2.5
Zion National Park,2.5
ThisonesforPnut,2.5
bos1,2.5
MiamiGotFucked,2.5
Banana,2.5
Larry's bracket,2.5
Kyle Wall,2.5
KathDog,2.5
Larry G,2.5
I think I'm dying here,2.5
Mrs.bos'bracket,2.5
Not a Bracket,2.5
Three Orange Whips,2.5
Operation Varsity Blues,2.5
NotAWinner,2.5
Anna E.,2.5
2PEAT,2.5
Brexitball,2.5
BuyUsAWinner,2.5
This Year Though...,2.5
wrinkled balls,2.5
Red Raider Quaker,2.5
Bet They Got S.C.M.O.D.S.,2.5
Bulldogs Arf 1,2.5,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga,1 Virginia,2 Kentucky,2 Michigan State,1 Virginia,2 Michigan State
Tim Apple,2.5
LETS GO BU!,2.5
Danielle Iserlis,2.5
Go SUNY Tech,2.5
Ckillar1,2.5
Gimme the loot,2.5
gsuss,2.5
My Bracket Sucks,2.5
DLee's Wife's Mount Zion,2.5
Julie M,2.5
Dan G.,2.5
AS1's Pool,2.5
Gene's Picks,2.5
Yogi Bear,2.5
Shez 2,2.5
Corliss > Zion,2.5
west coast best coast,2.5
My Toddlers Picks,2.5
Sprinkles,2.5
PapaBias,2.5
Bulldogs Arf #2,2.5,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga,1 Virginia,2 Kentucky,2 Michigan State,1 Virginia,2 Michigan State
Sydney's College Fund,2.5
qvollmert,2.5
uclakav,2.5
Geoffs winners,2.5
Sprague The Whisperer,2.5
Coach Kroojawoowski,2.5
Disco Pants and Haircuts,2.5
Team ODB2,2.5
cbirn,2.5
Skinnyjam,2.5
Dat Bracket Doe,2.5
Geoff pool 2,2.5
Eric M Entry,2.5
GoDucks,2.5
Todd's Wife,2.5
Team ODB,2.5
YOU ARE UG-LY,2.5
augdiggity,2.5
FeelingLucky2019,2.5
All the Fish,2.5
